Time [s],46X [g],46 Y [g],46 Z [g],56X [g],56Y [g],56Z [g],57X [g],57Y [g],57Z [g],48X [g],48Y [g],48Z [g]
0.47575,2.0819392,2.05265,1.2848179,2.1939821,-1.4402207,1.5390676,1.2784349,0.17487052,1.1263669,0.86596322,-1.1804147,-2.5942063
0.4758,2.145942,2.0514917,1.2935174,2.1599662,-1.4070241,1.5059704,1.2463312,0.17487052,1.1098974,0.88242447,-1.1491667,-2.5301447
0.47585,2.145942,2.0531688,1.3039904,2.1089425,-1.4236224,1.4728731,1.2302793,0.17487052,1.0934279,0.86596322,-1.1335428,-2.466083
0.4759,2.1139405,2.0555518,1.3065302,2.0919344,-1.4236224,1.4563246,1.2142274,0.17487052,1.0934279,0.8330406,-1.1335428,-2.466083
0.47595,2.0659385,2.0558174,1.2972215,2.1089425,-1.4402207,1.4728731,1.2302793,0.17487052,1.1098974,0.8330406,-1.1647907,-2.4981139
0.476,2.0499377,2.0514495,1.2818919,2.1429582,-1.4402207,1.5059704,1.2302793,0.17487052,1.1098974,0.81657934,-1.1804147,-2.5461602
0.47605,2.0659385,2.0426595,1.2701762,2.1429582,-1.4070241,1.522519,1.2463312,0.17487052,1.1098974,0.81657934,-1.1960386,-2.5621755
0.4761,2.0979397,2.0330915,1.2673649,2.1259503,-1.3904258,1.522519,1.2463312,0.17487052,1.0934279,0.8330406,-1.1960386,-2.578191
0.47615,2.0819392,2.0269079,1.2725712,2.1089425,-1.3904258,1.5059704,1.2463312,0.19296294,1.0769584,0.84950191,-1.1804147,-2.5301447
0.4762,2.0499377,2.0255022,1.2815964,2.0919344,-1.3738275,1.4894217,1.2142274,0.21105537,1.0604889,0.84950191,-1.1491667,-2.4820986
0.47625,2.0499377,2.0269198,1.2889444,2.0749266,-1.3904258,1.4728731,1.1981755,0.21105537,1.0440193,0.84950191,-1.1491667,-2.4340522
0.4763,2.0819392,2.0280359,1.2890168,2.0579185,-1.3904258,1.4563246,1.1981755,0.21105537,1.0440193,0.8330406,-1.1491667,-2.4500675
0.47635,2.0979397,2.026727,1.2792556,2.0409107,-1.4070241,1.4728731,1.1981755,0.19296294,1.0440193,0.81657934,-1.1491667,-2.4820986
0.4764,2.0499377,2.0225039,1.2638357,2.0749266,-1.4070241,1.5059704,1.1821237,0.19296294,1.0769584,0.81657934,-1.1804147,-2.5301447
0.47645,2.0019357,2.0159702,1.2524275,2.1089425,-1.3904258,1.522519,1.1821237,0.17487052,1.0769584,0.81657934,-1.1960386,-2.5461602
0.4765,2.0179362,2.0086706,1.2521319,2.0919344,-1.3738275,1.5059704,1.1981755,0.17487052,1.0604889,0.8330406,-1.1960386,-2.5301447
0.47655,2.0659385,2.0029092,1.2609398,2.0409107,-1.3572291,1.4728731,1.1821237,0.17487052,1.0604889,0.84950191,-1.1647907,-2.4820986
0.4766,2.0819392,2.0006227,1.270134,2.0239027,-1.3572291,1.4563246,1.1660719,0.17487052,1.0440193,0.8330406,-1.1335428,-2.4340522
0.47665,2.0659385,2.0016663,1.2721188,2.0239027,-1.3572291,1.4563246,1.1339681,0.17487052,1.0604889,0.8330406,-1.1335428,-2.4020214
0.4767,2.0179362,2.0030599,1.2654525,2.0068948,-1.3572291,1.4728731,1.1339681,0.17487052,1.0440193,0.81657934,-1.1491667,-2.4180367
0.47675,1.9699342,2.0011716,1.2539176,2.0239027,-1.3738275,1.4728731,1.15002,0.1567781,1.0440193,0.80011803,-1.1647907,-2.4500675
0.4768,1.9699342,1.9957482,1.2424974,2.0239027,-1.3572291,1.5059704,1.15002,0.17487052,1.0440193,0.80011803,-1.1960386,-2.4820986
0.47685,2.0019357,1.9895886,1.2356803,2.0239027,-1.3572291,1.5059704,1.1339681,0.17487052,1.0440193,0.81657934,-1.1960386,-2.4820986
0.4769,2.0019357,1.9842857,1.2372127,2.0239027,-1.3406309,1.4894217,1.1339681,0.19296294,1.0440193,0.8330406,-1.1960386,-2.466083
0.47695,2.0019357,1.9798696,1.2461473,1.9898869,-1.3240325,1.4563246,1.1339681,0.19296294,1.0110804,0.84950191,-1.1647907,-2.4180367
0.477,1.985935,1.9771186,1.2545329,1.955871,-1.3240325,1.4397759,1.1179162,0.19296294,0.99461091,0.86596322,-1.1335428,-2.3699906
0.47705,2.0179362,1.9764248,1.2540202,1.938863,-1.3240325,1.4397759,1.1018643,0.19296294,0.99461091,0.84950191,-1.1491667,-2.3539751
0.4771,2.0179362,1.9758699,1.2440841,1.9728789,-1.3406309,1.4728731,1.1018643,0.21105537,0.99461091,0.80011803,-1.1647907,-2.4020214
0.47715,1.985935,1.9732938,1.2312341,1.9898869,-1.3406309,1.4894217,1.1179162,0.21105537,0.99461091,0.76719546,-1.1960386,-2.4500675
0.4772,1.9219321,1.9687572,1.2223356,1.9728789,-1.3572291,1.4894217,1.1339681,0.21105537,0.97814137,0.75073415,-1.2116627,-2.466083
0.47725,1.9379328,1.9635447,1.2204051,1.9728789,-1.3406309,1.4894217,1.1179162,0.21105537,0.97814137,0.76719546,-1.1960386,-2.4340522
0.4773,1.9699342,1.9586762,1.2245859,1.955871,-1.3074342,1.4728731,1.1018643,0.21105537,0.97814137,0.76719546,-1.1804147,-2.4180367
0.47735,1.9699342,1.9547669,1.2315658,1.9218551,-1.2908359,1.4397759,1.0858124,0.21105537,0.97814137,0.78365672,-1.1647907,-2.3699906
0.4774,1.9539335,1.9520884,1.2364646,1.9048471,-1.2908359,1.4232273,1.0858124,0.21105537,0.96167189,0.80011803,-1.1491667,-2.3379595
0.47745,1.9219321,1.9506344,1.2342565,1.9048471,-1.3074342,1.4232273,1.0858124,0.19296294,0.94520241,0.78365672,-1.1491667,-2.3219442
0.4775,1.9059314,1.9498441,1.2237352,1.9218551,-1.3074342,1.4563246,1.0697607,0.19296294,0.96167189,0.76719546,-1.1804147,-2.3699906
0.47755,1.9059314,1.9483962,1.2103604,1.9218551,-1.3240325,1.4894217,1.0697607,0.19296294,0.97814137,0.75073415,-1.2116627,-2.4180367
0.4776,1.9379328,1.9448308,1.2028193,1.9218551,-1.3074342,1.4894217,1.0697607,0.19296294,0.97814137,0.75073415,-1.2116627,-2.4340522
0.47765,1.9379328,1.938991,1.2052808,1.9048471,-1.3074342,1.4728731,1.0697607,0.19296294,0.96167189,0.75073415,-1.1960386,-2.3860059
0.4777,1.9059314,1.9331874,1.2134372,1.8708313,-1.2908359,1.4397759,1.0376569,0.21105537,0.94520241,0.76719546,-1.1804147,-2.3539751
0.47775,1.8899307,1.9298512,1.2192408,1.8538233,-1.2742376,1.4232273,1.0376569,0.21105537,0.94520241,0.78365672,-1.1491667,-2.3219442
